flight_number,name,launch_year,success,class,rocket,payloads,launchpad
127,Starlink-26 (v1.0) + Capella-6 + Tyvak-0130,2021,True,1,5e9d0d95eda69973a809d1ec,"['605b4bfcaa5433645e37d048', '609f48374a12e4692eae4667', '609f49c64a12e4692eae4668']",5e9e4502f509094188566f88
128,Starlink-28 (v1.0),2021,True,1,5e9d0d95eda69973a809d1ec,['6079bd679a06446e8c61bf7d'],5e9e4501f509094ba4566f84
129,CRS-22 & IROSA,2021,True,1,5e9d0d95eda69973a809d1ec,['5fe3b642b3467846b324217b'],5e9e4502f509094188566f88
130,SXM-8,2021,True,1,5e9d0d95eda69973a809d1ec,['5fe3b57db3467846b324217a'],5e9e4501f509094ba4566f84
131,GPS III SV05,2021,True,1,5e9d0d95eda69973a809d1ec,['5eb0e4d2b6c3bb0006eeb261'],5e9e4501f509094ba4566f84
132,Transporter-2,2021,True,1,5e9d0d95eda69973a809d1ec,['608ac397eb3e50044e3630e7'],5e9e4501f509094ba4566f84
133,CRS-23,2021,True,1,5e9d0d95eda69973a809d1ec,['5fe3c4f2b3467846b3242193'],5e9e4502f509094188566f88
134,Starlink 2-1 (v1.5),2021,True,1,5e9d0d95eda69973a809d1ec,['60e3bf3373359e1e20335c3c'],5e9e4502f509092b78566f87
135,Inspiration4,2021,True,1,5e9d0d95eda69973a809d1ec,['607a382f5a906a44023e0867'],5e9e4502f509094188566f88
136,Crew-3,2021,True,1,5e9d0d95eda69973a809d1ec,['5fe3b3bab3467846b3242174'],5e9e4502f509094188566f88
137,Starlink 4-1 (v1.5),2021,True,1,5e9d0d95eda69973a809d1ec,['618fabf0563d69573ed8caa6'],5e9e4501f509094ba4566f84
138,DART,2021,True,1,5e9d0d95eda69973a809d1ec,['5fe3c4a6b3467846b3242192'],5e9e4502f509092b78566f87
139,Starlink 4-3 (v1.5),2021,True,1,5e9d0d95eda69973a809d1ec,['6161d0f26db1a92bfba85355'],5e9e4501f509094ba4566f84
140,IXPE,2021,True,1,5e9d0d95eda69973a809d1ec,['61c1f395a4a2462678cbf46e'],5e9e4502f509094188566f88
141,Starlink 4-4 (v1.5),2021,True,1,5e9d0d95eda69973a809d1ec,['61bbac16437241381bf70632'],5e9e4502f509092b78566f87
142,Türksat 5B,2021,True,1,5e9d0d95eda69973a809d1ec,['5fe3c080b3467846b3242190'],5e9e4501f509094ba4566f84
143,CRS-24,2021,True,1,5e9d0d95eda69973a809d1ec,['6161d22a6db1a92bfba85357'],5e9e4502f509094188566f88
144,Starlink 4-5 (v1.5),2022,True,1,5e9d0d95eda69973a809d1ec,['61d5ece4f88e4c5fc91f1ebb'],5e9e4502f509094188566f88
145,Transporter-3,2022,True,1,5e9d0d95eda69973a809d1ec,['6175aaacefa4314085aa9c56'],5e9e4501f509094ba4566f84
146,Starlink 4-6 (v1.5),2022,True,1,5e9d0d95eda69973a809d1ec,['61e05516be8d8b66799018d4'],5e9e4502f509094188566f88
147,CSG-2,2022,True,1,5e9d0d95eda69973a809d1ec,['6161d3a06db1a92bfba8535a'],5e9e4501f509094ba4566f84
148,NROL-87,2022,True,1,5e9d0d95eda69973a809d1ec,['6175aaacefa4314085aa9c56'],5e9e4502f509092b78566f87
149,Starlink 4-7 (v1.5),2022,True,1,5e9d0d95eda69973a809d1ec,['61e05520be8d8b66799018d5'],5e9e4502f509094188566f88
150,Starlink 4-8 (v1.5),2022,True,1,5e9d0d95eda69973a809d1ec,['61fc02e1e0dc5662b76489b4'],5e9e4501f509094ba4566f84
